Scenario,Method,Accuracy,Macro F1,Weighted F1
NO DRIFT,Trust,0.9638499999999999,0.9635783007168055,0.9635783007168056
NO DRIFT,FedAvg,0.9603399999999999,0.9599782501055593,0.9599782501055593
NO DRIFT,Krum,0.9588199999999999,0.9584204263093181,0.9584204263093179
NO DRIFT,Multi-Krum,0.9600899999999999,0.9597176820557962,0.9597176820557962
NO DRIFT,Median,0.9603900000000001,0.9600181347242505,0.9600181347242506
NO DRIFT,Trimmed Mean,0.96038,0.9600120563032923,0.9600120563032926
NO DRIFT,FLTrust,0.9603399999999999,0.9599782501055593,0.9599782501055593
NO DRIFT,FoolsGold,0.96028,0.9599123801061378,0.9599123801061378
MILD DRIFT,Trust,0.9647,0.9644547235165095,0.9644547235165095
MILD DRIFT,FedAvg,0.95015,0.9496400821622144,0.9496400821622144
MILD DRIFT,Krum,0.94779,0.9472514339165505,0.9472514339165505
MILD DRIFT,Multi-Krum,0.94865,0.9481328975858576,0.9481328975858576
MILD DRIFT,Median,0.94908,0.9485565760572211,0.9485565760572209
MILD DRIFT,Trimmed Mean,0.94924,0.9487172722499071,0.9487172722499073
MILD DRIFT,FLTrust,0.95015,0.9496400821622144,0.9496400821622144
MILD DRIFT,FoolsGold,0.9549,0.9544868300918299,0.9544868300918299
SEVERE DRIFT,Trust,0.9647,0.9644547235165095,0.9644547235165095
SEVERE DRIFT,FedAvg,0.94431,0.9437946957322005,0.9437946957322005
SEVERE DRIFT,Krum,0.94174,0.9412230690876925,0.9412230690876925
SEVERE DRIFT,Multi-Krum,0.9408900000000001,0.9403543244794681,0.9403543244794681
SEVERE DRIFT,Median,0.94176,0.9412663793124885,0.9412663793124885
SEVERE DRIFT,Trimmed Mean,0.94238,0.9418801742794389,0.9418801742794389
SEVERE DRIFT,FLTrust,0.94431,0.9437946957322005,0.9437946957322005
SEVERE DRIFT,FoolsGold,0.9521200000000001,0.9517058617363363,0.9517058617363363
